SK_FECHA,FECHA,DIA,DIA_SEMANA,MES,TRIMESTRE,ANIO,NOMBRE_MES,NOMBRE_DIA,NOMBRE_TRIMESTRE
1,1/1/2025,1,4,1,1,2025,January,Sunday,Primer Trimestre
2,1/2/2025,2,5,1,1,2025,January,Monday,Primer Trimestre
3,1/3/2025,3,6,1,1,2025,January,Tuesday,Primer Trimestre
4,1/4/2025,4,7,1,1,2025,January,Wednesday,Primer Trimestre
5,1/5/2025,5,1,1,1,2025,January,Thursday,Primer Trimestre
6,1/6/2025,6,2,1,1,2025,January,Friday,Primer Trimestre
7,1/7/2025,7,3,1,1,2025,January,Saturday,Primer Trimestre
8,1/8/2025,8,4,1,1,2025,January,Sunday,Primer Trimestre
9,1/9/2025,9,5,1,1,2025,January,Monday,Primer Trimestre
10,1/10/2025,10,6,1,1,2025,January,Tuesday,Primer Trimestre
11,1/11/2025,11,7,1,1,2025,January,Wednesday,Primer Trimestre
12,1/12/2025,12,1,1,1,2025,January,Thursday,Primer Trimestre
13,1/13/2025,13,2,1,1,2025,January,Friday,Primer Trimestre
14,1/14/2025,14,3,1,1,2025,January,Saturday,Primer Trimestre
15,1/15/2025,15,4,1,1,2025,January,Sunday,Primer Trimestre
16,1/16/2025,16,5,1,1,2025,January,Monday,Primer Trimestre
17,1/17/2025,17,6,1,1,2025,January,Tuesday,Primer Trimestre
18,1/18/2025,18,7,1,1,2025,January,Wednesday,Primer Trimestre
19,1/19/2025,19,1,1,1,2025,January,Thursday,Primer Trimestre
20,1/20/2025,20,2,1,1,2025,January,Friday,Primer Trimestre
21,1/21/2025,21,3,1,1,2025,January,Saturday,Primer Trimestre
22,1/22/2025,22,4,1,1,2025,January,Sunday,Primer Trimestre
23,1/23/2025,23,5,1,1,2025,January,Monday,Primer Trimestre
24,1/24/2025,24,6,1,1,2025,January,Tuesday,Primer Trimestre
25,1/25/2025,25,7,1,1,2025,January,Wednesday,Primer Trimestre
26,1/26/2025,26,1,1,1,2025,January,Thursday,Primer Trimestre
27,1/27/2025,27,2,1,1,2025,January,Friday,Primer Trimestre
28,1/28/2025,28,3,1,1,2025,January,Saturday,Primer Trimestre
29,1/29/2025,29,4,1,1,2025,January,Sunday,Primer Trimestre
30,1/30/2025,30,5,1,1,2025,January,Monday,Primer Trimestre
31,1/31/2025,31,6,1,1,2025,January,Tuesday,Primer Trimestre
32,2/1/2025,1,7,2,1,2025,February,Wednesday,Primer Trimestre
33,2/2/2025,2,1,2,1,2025,February,Thursday,Primer Trimestre
34,2/3/2025,3,2,2,1,2025,February,Friday,Primer Trimestre
35,2/4/2025,4,3,2,1,2025,February,Saturday,Primer Trimestre
36,2/5/2025,5,4,2,1,2025,February,Sunday,Primer Trimestre
37,2/6/2025,6,5,2,1,2025,February,Monday,Primer Trimestre
38,2/7/2025,7,6,2,1,2025,February,Tuesday,Primer Trimestre
39,2/8/2025,8,7,2,1,2025,February,Wednesday,Primer Trimestre
40,2/9/2025,9,1,2,1,2025,February,Thursday,Primer Trimestre
41,2/10/2025,10,2,2,1,2025,February,Friday,Primer Trimestre
42,2/11/2025,11,3,2,1,2025,February,Saturday,Primer Trimestre
43,2/12/2025,12,4,2,1,2025,February,Sunday,Primer Trimestre
44,2/13/2025,13,5,2,1,2025,February,Monday,Primer Trimestre
45,2/14/2025,14,6,2,1,2025,February,Tuesday,Primer Trimestre
46,2/15/2025,15,7,2,1,2025,February,Wednesday,Primer Trimestre
47,2/16/2025,16,1,2,1,2025,February,Thursday,Primer Trimestre
48,2/17/2025,17,2,2,1,2025,February,Friday,Primer Trimestre
49,2/18/2025,18,3,2,1,2025,February,Saturday,Primer Trimestre
50,2/19/2025,19,4,2,1,2025,February,Sunday,Primer Trimestre
51,2/20/2025,20,5,2,1,2025,February,Monday,Primer Trimestre
52,2/21/2025,21,6,2,1,2025,February,Tuesday,Primer Trimestre
53,2/22/2025,22,7,2,1,2025,February,Wednesday,Primer Trimestre
54,2/23/2025,23,1,2,1,2025,February,Thursday,Primer Trimestre
55,2/24/2025,24,2,2,1,2025,February,Friday,Primer Trimestre
56,2/25/2025,25,3,2,1,2025,February,Saturday,Primer Trimestre
57,2/26/2025,26,4,2,1,2025,February,Sunday,Primer Trimestre
58,2/27/2025,27,5,2,1,2025,February,Monday,Primer Trimestre
59,2/28/2025,28,6,2,1,2025,February,Tuesday,Primer Trimestre
60,3/1/2025,1,7,3,1,2025,February,Wednesday,Primer Trimestre
61,3/2/2025,2,1,3,1,2025,March,Thursday,Primer Trimestre
62,3/3/2025,3,2,3,1,2025,March,Friday,Primer Trimestre
63,3/4/2025,4,3,3,1,2025,March,Saturday,Primer Trimestre
64,3/5/2025,5,4,3,1,2025,March,Sunday,Primer Trimestre
65,3/6/2025,6,5,3,1,2025,March,Monday,Primer Trimestre
66,3/7/2025,7,6,3,1,2025,March,Tuesday,Primer Trimestre
67,3/8/2025,8,7,3,1,2025,March,Wednesday,Primer Trimestre
68,3/9/2025,9,1,3,1,2025,March,Thursday,Primer Trimestre
